"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_confusion,score_numbness,score_vision,score_nosebleed,score_urgency,score_location,total_raw_score,awareness_score,awareness_category
Neurologist,Yes,Other,maybe,yes,yes,yes,41-60,Male,other,"Above 8,00,000",Emergency Services,Unaware,No Response,General Awareness,Other,other,4,1,0,1,1,0,0,0,24,3.81,Moderate Awareness
Neurologist,No,Immediately,yes,maybe,maybe,maybe,41-60,Female,other,"6,00,001 - 8,00,000",Hospital,Immediate,Hospital /Medical Centre,Unaware,Unaware,other,4,0,1,0,0,1,0,3,34,5.4,Moderate Awareness
Neurologist,Yes,Within a week,yes,yes,yes,yes,41-60,Male,other,"Above 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response,4,1,1,1,1,0,0,0,29,4.6,Moderate Awareness
Neurologist,Yes,Immediately,maybe,maybe,maybe,maybe,41-60,Female,speciality,"4,00,001 - 6,00,000",Hospital,Immediate,Other,Headache,Other,other,4,1,0,0,0,1,0,0,19,3.02,Moderate Awareness
Neurologist,Maybe,Immediately,yes,yes,yes,yes,26-40,Female,speciality,"4,00,001 - 6,00,000",Doctor,Immediate,Doctor /Specialist,"Paralysis / Weakness, Vision Problems",Unaware,other,4,0,1,1,1,0,0,0,24,3.81,Moderate Awareness
Neurologist,Yes,Immediately,yes,yes,maybe,maybe,26-40,Female,high school,"6,00,001 - 8,00,000",Emergency Services,Immediate,Emergency Services,Speech / Confusion,"BP / Heart, Diabetes / Obesity",other,4,1,1,1,0,1,0,0,29,4.6,Moderate Awareness
Neurologist,No,Other,maybe,maybe,maybe,maybe,15-25,Female,graduate,"Below 2,00,000",Unaware,Unaware,Emergency Services,Unaware,Unaware,other,4,0,0,0,0,1,0,0,14,2.22,Low Awareness
Physician,No,Immediately,maybe,yes,maybe,maybe,15-25,Female,undergraduate,"Below 2,00,000",Doctor,Immediate,No Response,General Awareness,Unaware,No response,0,0,0,1,0,1,0,0,7,1.11,Low Awareness
Physician,Maybe,Immediately,maybe,maybe,yes,maybe,15-25,Female,undergraduate,Not Specified,Not given,Not answered,No Response,"Paralysis / Weakness, Headache",Unaware,No response,0,0,0,0,0,0,0,0,0,0.0,Low Awareness
Physician,No,Immediately,no,no,no,no,15-25,Female,other,"Below 2,00,000",Doctor,Unaware,Doctor /Specialist,General Awareness,Other,other,0,0,0,0,0,2,0,0,4,0.63,Low Awareness
